id_zone;INSEE;LIBGEO;DEP;REG;EPCI;TYPPRED;loypredm2;lwrIPm2;uprIPm2;R2adj;Nbobs_maille;NBobs_commune
622;65233;Jarret;65;76;200069300;epci;7,68878331;5,541736907;10,66766427;0,54005908;594;5
625;65234;J�zeau;65;76;246500573;epci;7,243694094;4,986304713;10,52304405;0,523144374;617;0
600;65235;Juillan;65;76;200069300;epci;8,291325591;6,679987736;10,29134824;0,627370452;896;137
622;65236;Julos;65;76;200069300;epci;7,68878331;5,541736907;10,66766427;0,54005908;594;9
622;65237;Juncalas;65;76;200069300;epci;7,68878331;5,541736907;10,66766427;0,54005908;594;3
622;65238;Labass�re;65;76;246500482;maille;7,003313741;5,043723643;9,72424479;0,54005908;594;1
690;65239;Labastide;65;76;200070787;maille;6,90937347;4,965408801;9,614403098;0,556812914;521;2
667;65240;Labatut-Rivi�re;65;76;200072106;epci;6,810325237;5,253953744;8,827738516;0,546806542;1038;7
690;65241;Laborde;65;76;200070787;maille;6,90937347;4,965408801;9,614403098;0,556812914;521;1
929;65242;Lacassagne;65;76;200072106;maille;7,370353296;6,07127398;8,9473985;0,706901657;509;13
667;65243;Lafitole;65;76;200072106;epci;6,810325237;5,253953744;8,827738516;0,546806542;1038;2
929;65244;Lagarde;65;76;200069300;maille;7,370353296;6,07127398;8,9473985;0,706901657;509;16
372;65245;Lagrange;65;76;200070787;maille;6,507143357;5,012352217;8,447713336;0,541946432;603;1
622;65247;Arrayou-Lahitte;65;76;200069300;epci;7,68878331;5,541736907;10,66766427;0,54005908;594;3
667;65248;Lahitte-Toupi�re;65;76;200072106;epci;6,810325237;5,253953744;8,827738516;0,546806542;1038;0
660;65249;Lalanne;65;76;200070795;maille;6,68624256;5,093819388;8,776486987;0,609569227;1123;1
395;65250;Lalanne-Trie;65;76;200070795;epci;6,820606149;5,582407824;8,333441358;0,717483326;1271;0
395;65251;Laloub�re;65;76;200069300;epci;8,673800918;7,090079283;10,61128083;0,717483326;1271;98
549;65252;Lamarque-Pontacq;65;76;200069300;maille;7,190527955;5,672163161;9,115339387;0,598818748;1281;26
395;65253;Lamarque-Rustaing;65;76;200070795;epci;6,820606149;5,582407824;8,333441358;0,717483326;1271;0
1158;65254;Lam�ac;65;76;200072106;maille;6,200370827;4,593434302;8,369467345;0,715401705;496;2
625;65255;Lan�on;65;76;246500573;epci;7,243694094;4,986304713;10,52304405;0,523144374;617;0
372;65256;Lanesp�de;65;76;200070803;maille;6,507143357;5,012352217;8,447713336;0,541946432;603;2
600;65257;Lanne;65;76;200069300;epci;8,291325591;6,679987736;10,29134824;0,627370452;896;8
395;65258;Lannemezan;65;76;200070787;epci;7,49316716;6,124850802;9,167170907;0,717483326;1271;219
395;65259;Lansac;65;76;200070803;maille;7,202662713;5,887441872;8,811696369;0,717483326;1271;1
1158;65260;Lapeyre;65;76;200070795;maille;6,200370827;4,593434302;8,369467345;0,715401705;496;0
