n_station;ad_station;code_insee;Xlongitude;Ylatitude
RIS-ORANGIS;PLACE JACQUES BREL – RN 7;91130;2.408653;48.656048
RIS-ORANGIS;ROUTE DE GRIGNY;91130;2.406637;48.650284
RIS-ORANGIS;Rue Henri Sellier;91130;2.403819;48.647832
RIS-ORANGIS;ROUTE DE GRIGNY;91130;2.406637;48.650284
Courcouronnes;RUE JACQUES TATI;91080;2.423114;48.627525
Courcouronnes;RUE JACQUES TATI;91080;2.423114;48.627525
Courcouronnes;ROUTE DE VERSAILLES;91080;2.409062;48.617744
Courcouronnes;AVENUE BEREGOVOY;91080;2.405733;48.620289
Courcouronnes;ROUTE DE VERSAILLES;91080;2.409062;48.617744
Courcouronnes;AVENUE BEREGOVOY;91080;2.405733;48.620289
DUN - Allee De L'Ecole;Allee De L'Ecole 9600 DUN;9107;1.799727;43.026115
DUN - Allee De L'Ecole;Allee De L'Ecole 9600 DUN;9107;1.799727;43.026115
BOIGNEVILLE - Place de la Gare;Place de la gare 91720 BOIGNEVILLE;91069;2.378676;48.342895
BOIGNEVILLE - Place de la Gare;Place de la gare 91720 BOIGNEVILLE;91069;2.378676;48.342895
DAUMAZAN SUR ARIZE - Place De La Bascule;Place De La Bascule 9350 DAUMAZAN SUR ARIZE;9105;1.308292;43.14411
DAUMAZAN SUR ARIZE - Place De La Bascule;Place De La Bascule 9350 DAUMAZAN SUR ARIZE;9105;1.308292;43.14411
EVRY;Cour MONSEIGNEUR ROMERO;91000;2.429889;48.623333
EVRY;RUE HENRI ROCHEFORT;91000;2.442806;48.622028
EVRY;le Village;91000;2.446556;48.636444
EVRY;JEAN TARIS;91000;2.430556;48.640057
EVRY;le Village;91000;2.446556;48.636444
EVRY;Rue des MAZIERES;91000;2.431194;48.628971
EVRY;Cour MONSEIGNEUR ROMERO;91000;2.429889;48.623333
EVRY;RUE HENRI ROCHEFORT;91000;2.442806;48.622028
EVRY;JEAN TARIS;91000;2.430556;48.640057
EVRY;Rue des MAZIERES;91000;2.431194;48.628971
EVRY;Avenue de MOUSSEAUX;91000;2.450333;48.630527
EVRY;Avenue de MOUSSEAUX;91000;2.450333;48.630527
CASTILLON EN COUSERANS - Boulevard Des Comtes De Foix;Avenue Noel Peyrevidal 9800 CASTILLON EN COUSERANS;9085;1.031534;42.922484
CASTILLON EN COUSERANS - Boulevard Des Comtes De Foix;Avenue Noel Peyrevidal 9800 CASTILLON EN COUSERANS;9085;1.031534;42.922484
LES CABANNES - Mairie Route De Beille;Mairie Route De Beille 9310 LES CABANNES;9070;1.686091;42.784878
LES CABANNES - Mairie Route De Beille;Mairie Route De Beille 9310 LES CABANNES;9070;1.686091;42.784878
BELESTA - Av De Lavelanet / Rue Des Jardins;Av De Lavelanet / Rue Des Jardins 9300 BELESTA;9047;1.931897;42.904392
BELESTA - Av De Lavelanet / Rue Des Jardins;Av De Lavelanet / Rue Des Jardins 9300 BELESTA;9047;1.931897;42.904392
LA BASTIDE DE SEROU - Avenue De La Gare;Avenue De La Gare 9240 LA BASTIDE DE SEROU;9042;1.429564;43.012886
LA BASTIDE DE SEROU - Avenue De La Gare;Avenue De La Gare 9240 LA BASTIDE DE SEROU;9042;1.429564;43.012886
AX LES THERMES - La Chapelle 4 Rue St Jerome;La Chapelle 4 Rue St Jerome 9110 AX LES THERMES;9032;1.837013;42.719505
AX LES THERMES - La Chapelle 4 Rue St Jerome;La Chapelle 4 Rue St Jerome 9110 AX LES THERMES;9032;1.837013;42.719505
AX LES THERMES - Parking Avenue Adolphe Authie;Parking Avenue Adolphe Authie 9110 AX LES THERMES;9032;1.840973;42.720458
AX LES THERMES - Parking Avenue Adolphe Authie;Parking Avenue Adolphe Authie 9110 AX LES THERMES;9032;1.840973;42.720458
AULUS LES BAINS - D8- Direction Col D'Agnes;D8- Direction Col D'Agnes 9140 AULUS LES BAINS;9029;1.33707;42.789366
AULUS LES BAINS - D8- Direction Col D'Agnes;D8- Direction Col D'Agnes 9140 AULUS LES BAINS;9029;1.33707;42.789366
Gare SNCF;Gare SNCF;90072;6.935754;47.549348
Gare SNCF;Gare SNCF;90072;6.935907;47.549315
Gare SNCF;Gare SNCF;90072;6.935754;47.549348
Gare SNCF;Gare SNCF;90072;6.935907;47.549315
gare SNCF;17 Rue georges Helminger;90071;6.99513;47.61063
gare SNCF;17 Rue georges Helminger;90071;6.99513;47.61063
gare SNCF;17 Rue georges Helminger;90071;6.99513;47.61063
gare SNCF;17 Rue georges Helminger;90071;6.99513;47.61063
Piscine;"""31 Grande Rue 90170 Étueffont""";90041;6.923167;47.717710
Piscine;"""31 Grande Rue 90170 Étueffont""";90041;6.923167;47.717710
Piscine;"""31 Grande Rue 90170 Étueffont""";90041;6.923167;47.717710
Piscine;"""31 Grande Rue 90170 Étueffont""";90041;6.923167;47.717710
Super U;Super U, Rue Jacques Prévert;90039;6.82891;47.63468
Super U;Super U, Rue Jacques Prévert;90039;6.82891;47.63468
Super U;Super U, Rue Jacques Prévert;90039;6.82891;47.63468
Super U;Super U, Rue Jacques Prévert;90039;6.82891;47.63468
